Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,Next_S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
11/15/2001,0,-2.8,-2.27,-0.02,-1,-19.089966,-0.329956,7.569946,-2.619995,-150040000,2.119995,1.030029,-1.820068,2.190064,1.030029,11100000,73.520508,43.660156,66.839844,48.779296,19650000,9.84961,26.060059,20.759766,52.800293,-469200,7.899902,-5.900147,-10,-22.199951,0,176.9502,325.5293,155,289.34961,375257600,0.06,-0.580002,-0.729999,-1,0,-0.0006,-0.0016,-0.0033,-0.0119,0.008,-0.0053,0.0003,0.021,-0.0004,-0.08,0.73,-1,0,-0.02,0.069,-0.006,-0.0975,0.0078,0,0.0003,0.02,0,0.0003
11/16/2001,1,-0.95,0.35,-0.02,3,12.119995,-13.910034,-0.309937,-1.98999,-311410000,1.030029,-3.589966,-2.939941,-5.140015,-3.589966,-117100000,46.859375,5.75,-15.780273,-5.399414,-72740000,54.970215,41.149902,28.620117,56.310059,-18463600,0,0,0,0,0,261.45996,113.2207,233.58985,47.98047,-350863200,-0.57,-0.509998,-0.5,-0.489999,0,0.0023,0.0036,-0.0031,-0.0032,-0.012,0,0.0001,-0.0405,-0.0003,0,0.27,0,0,-0.005,0.011,0.017,-0.004,0.0025,0.2,-0.0092,0,-0.02,-0.0003
11/19/2001,0,-0.9,-0.31,0.01,4,9,26.48999,22.829956,35.840088,210760000,-3.589966,12.410035,7.540039,8.72998,12.410035,-20600000,-1.059571,67.669922,77.980468,109.469727,-34500000,56.069824,79.260254,82.419922,122.459961,-20895900,-12.800049,17,9.399902,30.5,0,72.86035,2.87012,122.68066,72.88965,-116573800,-0.33,-0.520001,-0.570002,-0.610001,0,0.0002,-0.0068,0.0008,-0.0171,-0.015,-0.0021,-0.0001,0.0645,-0.0004,-0.03,0.6,1,0,-0.0145,0.054,0.074,0.119,0.0045,0.2,0.0083,0,-0.02,0.0005
11/20/2001,0,-0.65,2.27,-0.05,5,13.989991,-4.48999,-27.569946,-53.910034,63680000,12.410035,-8.400025,1.389892,3.52002,-8.400025,13400000,98.189453,0.270508,23.040039,-75.080078,-4410000,115.560058,18.369629,-54.709961,-88.919922,19168500,21.100098,-8.699951,0.100098,-16.699951,0,54.3291,104.67969,-144.7207,-134.46973,322985000,-1.08,-0.95,-0.959999,-0.339998,0,-0.0017,0.0051,-1.00E-04,0.0073,0.028,0.0084,-1.00E-04,-0.047,-0.0002,0.03,-0.65,-1,0,-0.0255,-0.087,-0.018,0.0461,-0.0047,0.45,-0.0144,0,-0.05,-0.0001
11/21/2001,0,-0.15,-0.38,0,5,-52.869995,-45.719971,-24.119995,-5.459961,-410990000,-8.400025,0,-9.789917,-12.390015,-5.630005,-300900000,-74.449218,-82.540039,-97.080078,-66.700195,-32670000,-95.699707,-60.039551,23.689941,-9.150391,-5090900,-16.699951,-16.699951,-12.100098,-12.100098,0,-139.0293,-189.24023,1.25,-51.87012,-247972200,-0.489999,-0.06,0.34,0.07,0,-0.0026,-0.0051,-0.0044,-0.0026,-0.0115,0.0085,0,0.045,-1.00E-04,0,0.57,-3,0,-0.0225,0.0395,0.0395,0.1864,0.0017,0,0.0084,-0.03,-0.05,0.0003
11/22/2001,1,-0.05,1.21,-0.02,0,0,0,0,0,0,0,-5.630005,0,0,0,0,0,0,0,0,0,-1.590332,-8.370117,43.140137,37.510254,-38009100,-12.100098,8.300049,3.600098,8.699951,0,-45.45996,-50.03028,-34.96973,79.37989,-93013800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23/2001,1,0.35,-0.25,-0.01,0,5.310058,21.089966,19.969971,28.149902,-1007770000,-5.630005,13.309937,8.390015,6.119995,13.309937,-619000000,-61.100586,67.389648,36.609375,125.030273,-102500000,41.780274,16.569824,-52.359863,26.430176,18841700,0,0,0,0,0,126.51953,84.56055,156.49023,69.06054,-35830800,0.069999,-0.479999,-0.84,-0.940001,0,0.0008,-0.0011,-0.0002,-0.0059,-0.023,-0.0037,0,0.01,0.001,0.07,1.25,-10,0,0.005,0.044,-0.0295,0.0425,0.001,0,0.0105,0,-0.17,1.00E-04
11/26/2001,0,-0.5,-0.74,0.03,-5,35.619995,35.730103,33.25,38.030029,1164310000,13.309937,7.080078,6.829956,10.27002,7.080078,719500000,128.490234,31.209961,70.790039,23.040039,121350000,28.129883,57.280274,74.669922,-36.850098,4796100,24.300049,25.899902,25,22.900147,0,90.66016,178.92969,45.70996,69.59961,103453400,0.289999,0.799999,0.75,0.540001,0,0.002,0.0041,0.0025,0.003,-0.0195,0.0024,1.00E-04,-0.04,-0.0008,-0.05,-0.24,-5,0,0.015,0.0035,-0.048,-0.057,-0.004,0,-0.0045,0,-0.01,0.0006
11/27/2001,0,0.7,0.43,-0.02,2,17.059937,23.779907,-4,-5.260009,403290000,7.080078,-7.920044,5.5,-5.359985,-7.920044,158200000,18.75,-0.070312,-72.659179,-110.150391,79740000,-42.290039,-69.640137,-136.879883,-54.550293,18401500,7.300049,-12.300049,-1.399902,-2.600098,0,22.03027,-96.76954,-100.20996,-130.41992,-68546000,-0.619999,-0.180001,-0.790001,0.209999,0,0.0027,1.00E-04,0.0009,0.0012,-0.021,-0.0057,0,0,0,0.03,-0.03,0,0,0.0855,-0.0177,0.01,0.0767,0.0004,0,-0.0035,-0.01,-0.12,-0.0009
11/28/2001,1,1.1,-0.28,0.02,-2,-9.98999,-23.299927,-14.920044,-48,-232270000,-7.920044,-20.97998,-13.880005,-12.52002,-20.97998,135700000,-113.270508,-125.519532,-124.540039,-160.739257,-19410000,-86.370118,-116.680176,-54.030274,-143.619629,-10431800,-2.600098,-5,-22.800049,-23.699951,0,-176.62011,-203.08007,-204.06054,-195.34961,93000400,0.97,1.350001,1.330002,1.9,0,-0.0004,0.0051,0,0.0098,0.017,-0.0095,0.0002,-0.047,-0.0006,-0.09,-0.88,7,0,0.024,-0.0433,0.026,-0.1272,-0.0022,0.1,-0.0115,-0.02,0.05,0.0004
