Date,Movement,Open,High,Low,Close,Volume,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi
956203200,0,1427.469971,1435.48999,1422.079956,1434.540039,896200000,1567.468906,1385.949075,1476.70899,0,0,-6.319474587,4.505121345,-10.82459593,45.2872497
956548800,1,1434.540039,1434.540039,1407.130005,1429.859985,868700000,1561.589317,1382.068666,1471.828992,0,0,-7.1987181,2.164353392,-9.363071491,44.0074238
956635200,0,1429.859985,1477.670044,1429.859985,1477.439941,1071100000,1555.942472,1383.073507,1469.50799,0,0,-4.018017911,0.927879104,-4.945897015,57.94804716
956721600,1,1477.439941,1482.939941,1456.97998,1460.98999,999600000,1551.761985,1382.579995,1467.17099,0,0,-2.789940554,0.184315159,-2.974255713,52.71259034
956808000,0,1460.98999,1469.209961,1434.810059,1464.920044,1111000000,1547.311993,1382.66999,1464.990991,0,0,-1.483054097,-0.149158697,-1.3338954,53.86169408
956894400,1,1464.920044,1473.619995,1448.150024,1452.430054,984600000,1544.984595,1381.448388,1463.216492,0,0,-1.436928351,-0.406712631,-1.03021572,49.45479041
957153600,0,1452.430054,1481.51001,1452.430054,1468.25,966300000,1541.814878,1381.58511,1461.699994,0,0,-0.124393362,-0.350248777,0.225855414,54.85326109
957240000,0,1468.25,1468.25,1445.219971,1446.290039,1011500000,1536.293701,1381.138293,1458.715997,0,0,-0.843912746,-0.448981571,-0.394931175,46.84042834
957326400,0,1446.290039,1446.290039,1398.359985,1415.099976,991600000,1532.702411,1376.766583,1454.734497,0,0,-3.882772489,-1.135739759,-2.747032731,37.79295906
957412800,1,1415.099976,1420.98999,1404.939941,1409.569946,925800000,1529.714605,1371.974385,1450.844495,0,0,-6.659944552,-2.240580723,-4.419363829,36.35632749
957499200,0,1409.569946,1436.030029,1405.079956,1432.630005,805500000,1522.932809,1371.885184,1447.408997,0,0,-6.922411765,-3.176946935,-3.74546483,46.19694363
957758400,0,1432.630005,1432.630005,1417.050049,1424.170044,787600000,1511.556784,1374.043216,1442.8,0,0,-7.723295141,-4.086216578,-3.637078562,43.35900978
957844800,0,1424.170044,1430.280029,1401.849976,1412.140015,896600000,1501.707788,1374.660218,1438.184003,0,0,-9.2214465,-5.113262565,-4.108183935,39.38884535
957931200,1,1412.140015,1412.140015,1375.140015,1383.050049,1006400000,1493.215921,1371.398092,1432.307007,0,0,-12.60854607,-6.612319268,-5.996226799,31.37358354
958017600,1,1383.050049,1410.26001,1383.050049,1407.810059,953600000,1488.864312,1369.813703,1429.339008,0,0,-13.14503019,-7.918861454,-5.226168732,42.80407842
958104000,1,1407.810059,1430.130005,1407.810059,1420.959961,858200000,1487.75635,1368.96666,1428.361505,0,0,-12.36735311,-8.808559786,-3.558793324,48.10131836
958363200,1,1420.959961,1452.390015,1416.540039,1452.359985,854600000,1482.820721,1383.482282,1433.151501,0,0,-9.114080102,-8.869663849,-0.244416253,58.65226986
