Date,Open,High,Low,Close,Volume
2/4/2001,3352.800049,3352.800049,3309.300049,3312.800049,0
2/5/2001,3313.800049,3334.699951,3313.199951,3325.300049,0
2/6/2001,3324.199951,3326.5,3309.5,3312.100098,0
2/7/2001,3312.300049,3331.5,3312.300049,3329.399902,0
2/8/2001,3329.5,3329.5,3300.800049,3312.399902,0
2/11/2001,3310.399902,3335.800049,3300.600098,3330.300049,0
2/12/2001,3332.699951,3354.399902,3332.5,3341.100098,0
2/13/2001,3342.600098,3352.600098,3338.199951,3350.100098,0
2/14/2001,3349.899902,3350.600098,3316.600098,3325.699951,0
2/15/2001,3326.399902,3336.699951,3317.600098,3320.100098,0
2/18/2001,3313.600098,3314.800049,3280.899902,3291.399902,0
2/19/2001,3291.300049,3311.800049,3289.399902,3302.600098,0
2/20/2001,3300.399902,3314.699951,3289.199951,3314.699951,0
2/21/2001,3309.300049,3311,3278.800049,3292.600098,0
2/22/2001,3292.199951,3299.600098,3284.399902,3292,0
2/25/2001,3290.100098,3306.699951,3285.699951,3301.600098,0
2/26/2001,3303.699951,3317.300049,3300,3302.399902,0
2/27/2001,3301.5,3331.5,3283.800049,3326.5,0
2/28/2001,3321.800049,3350.100098,3308.699951,3350.100098,0
3/1/2001,3348.899902,3350.600098,3321,3333.399902,0
3/4/2001,3329.399902,3348,3327.899902,3342.899902,0
3/5/2001,3342.800049,3342.899902,3327.399902,3333.399902,0
3/6/2001,3330.100098,3362,3327.100098,3362,0
3/7/2001,3360.300049,3370.199951,3342.5,3343.5,0
3/8/2001,3339.699951,3341.800049,3322,3331.300049,0
3/11/2001,3329.699951,3329.699951,3297,3320.699951,0
3/12/2001,3308.800049,3309,3250.600098,3264.699951,0
3/13/2001,3264.800049,3272.600098,3262.600098,3263.899902,0
3/14/2001,3254.699951,3254.699951,3204.100098,3242.899902,0
3/15/2001,3243.199951,3258.399902,3242.800049,3252.399902,0
3/18/2001,3247.100098,3247.100098,3212,3216,0
3/19/2001,3211.100098,3233.899902,3210.600098,3229.699951,0
3/20/2001,3227,3227,3195.199951,3225.300049,0
3/21/2001,3222.399902,3222.399902,3175.899902,3188.800049,0
3/22/2001,3177.399902,3178.399902,3138.399902,3145.300049,0
3/26/2001,3145.100098,3171.800049,3145.100098,3165.100098,0
3/27/2001,3165.600098,3185.100098,3162.399902,3170.399902,0
3/28/2001,3169.899902,3194.199951,3168.399902,3179.600098,0
3/29/2001,3178.399902,3187,3152.199951,3177.899902,0
3/30/2001,3175,3177.199951,3147.199951,3147.199951,0
4/2/2001,3150.899902,3202.100098,3150.899902,3194.600098,0
4/3/2001,3193.300049,3201.800049,3183.699951,3192.300049,0
4/4/2001,3189.899902,3194.300049,3168.600098,3194.300049,0
4/5/2001,3192.800049,3227.600098,3192.800049,3220.5,0
4/6/2001,3227,3265.399902,3226,3233.199951,0
4/9/2001,3232.100098,3232.300049,3211.300049,3215.699951,0
4/10/2001,3217.300049,3233.600098,3217.300049,3228.5,0
4/11/2001,3236,3270.899902,3235.5,3259.600098,0
4/12/2001,3260.199951,3282.399902,3251.600098,3276.800049,0
4/13/2001,null,null,null,null,null
4/16/2001,null,null,null,null,null
4/17/2001,3275.800049,3277.899902,3257.100098,3258.699951,0
4/18/2001,3260.699951,3282.399902,3260.699951,3278.199951,0
4/19/2001,3284.399902,3333.699951,3283.600098,3324.199951,0
4/20/2001,3325.800049,3326.5,3302,3303.5,0
4/23/2001,3301,3308,3289.199951,3300.600098,0
4/24/2001,3298.800049,3305.399902,3286.300049,3301,0
4/25/2001,null,null,null,null,null
4/26/2001,3298.199951,3312.699951,3298.199951,3312,0
4/27/2001,3303.800049,3312.699951,3293.699951,3293.899902,0
4/30/2001,3297.699951,3329.399902,3297.699951,3329.399902,0
5/1/2001,3329.899902,3334.399902,3324.899902,3328.699951,0
5/2/2001,3330.899902,3357.399902,3329,3330.600098,0
5/3/2001,3330.899902,3353.600098,3321.899902,3350,0
5/4/2001,3344.899902,3347,3327.300049,3340.5,0
5/7/2001,3342.300049,3360.199951,3342.300049,3354.800049,0
5/8/2001,3354.600098,3357,3338.199951,3338.899902,0
5/9/2001,3336.399902,3348.800049,3327.899902,3346.100098,0
5/10/2001,3346.600098,3386.699951,3345.300049,3386.5,0
5/11/2001,3385.800049,3392.100098,3375,3389,0
5/14/2001,3388.199951,3390.399902,3358.199951,3382.199951,0
5/15/2001,3382.100098,3390.199951,3368,3390.199951,0
5/16/2001,3391.699951,3392.300049,3372.5,3380.100098,0
5/17/2001,3386.600098,3423.600098,3386.600098,3410,0
5/18/2001,3413.899902,3422.399902,3398.5,3404.100098,0
5/21/2001,3406.100098,3441,3405.100098,3435.300049,0
5/22/2001,3433,3443,3430.800049,3436.5,0
5/23/2001,3436,3444.300049,3419.199951,3426.699951,0
5/24/2001,3425.100098,3425.100098,3407.5,3416,0
5/25/2001,3414.5,3431.600098,3413.199951,3426.100098,0
5/28/2001,3423.5,3429,3409.600098,3420.100098,0
5/29/2001,3418.800049,3423.899902,3403.899902,3411.100098,0
5/30/2001,3409,3409,3396.399902,3399.800049,0
5/31/2001,3398.100098,3398.100098,3375.199951,3379.100098,0
6/1/2001,3378.100098,3401.199951,3378.100098,3391.5,0
6/4/2001,3390.399902,3427.399902,3390.399902,3426.699951,0
6/5/2001,3427.100098,3436.100098,3410.800049,3422.199951,0
6/6/2001,3426,3442,3419.899902,3423.300049,0
