Date,Open,High,Low,Close,Adj Close,Volume
3/16/2010,10718.62988,10776.51953,10716.2002,10721.70996,10721.70996,106600
3/17/2010,10789.24023,10864.29981,10761.88965,10846.98047,10846.98047,137700
3/18/2010,10841.70996,10845.73047,10731.66016,10744.03027,10744.03027,130200
3/19/2010,10785.87988,10826.75977,10775.57031,10824.71973,10824.71973,116300
3/23/2010,10793.04981,10817.78027,10766.65039,10774.15039,10774.15039,112500
3/24/2010,10829.36035,10880.62012,10769.17969,10815.03027,10815.03027,125500
3/25/2010,10857.80957,10872.4502,10808.70996,10828.84961,10828.84961,123600
3/26/2010,10895.29004,11001.58984,10889.33008,10996.37012,10996.37012,142200
3/29/2010,10909.98047,10990.75,10901.2002,10986.46973,10986.46973,144700
3/30/2010,11022.2002,11108.82031,11003.34961,11097.13965,11097.13965,153500
3/31/2010,11138.71973,11147.62012,11085.54981,11089.94043,11089.94043,141700
4/1/2010,11178.91992,11272.73047,11118.17969,11244.40039,11244.40039,166500
4/2/2010,11274.17969,11313.98047,11235.98047,11286.08984,11286.08984,150100
4/5/2010,11380.62988,11408.16992,11306.62012,11339.29981,11339.29981,117900
4/6/2010,11350.7002,11358.4502,11217.25,11282.32031,11282.32031,138000
4/7/2010,11296.30957,11350.57031,11260.41992,11292.83008,11292.83008,167400
4/8/2010,11179.66992,11232.36035,11159.4502,11168.2002,11168.2002,130200
4/9/2010,11174.62012,11204.87012,11148.79981,11204.33984,11204.33984,148400
4/12/2010,11300.79004,11351.54981,11248.57031,11251.90039,11251.90039,132500
4/13/2010,11202.91992,11212.65039,11088.48047,11161.23047,11161.23047,144600
4/14/2010,11213.45996,11270.2002,11161.00977,11204.90039,11204.90039,139400
4/15/2010,11310.07031,11316.66016,11255.79981,11273.79004,11273.79004,156800
4/16/2010,11230.53027,11230.53027,11084.71973,11102.17969,11102.17969,136800
4/19/2010,10929.63965,10953.90039,10878.99023,10908.76953,10908.76953,133100
4/20/2010,10960.11035,10999.57031,10890.82031,10900.67969,10900.67969,129600
4/21/2010,11031.79004,11093.29981,11023.87988,11090.04981,11090.04981,153000
4/22/2010,10988.00977,10989.62012,10866.23047,10949.08984,10949.08984,144100
4/23/2010,10930.90039,10967.12012,10865.91992,10914.45996,10914.45996,136800
4/26/2010,11039.58984,11165.79004,11035.66016,11165.79004,11165.79004,134900
4/27/2010,11109.25977,11213.4502,11108.71973,11212.66016,11212.66016,143000
4/28/2010,11005.50977,11008.87988,10882.40039,10924.79004,10924.79004,179300
4/30/2010,11062.12012,11092.51953,11035.26953,11057.40039,11057.40039,156700
5/6/2010,10847.90039,10847.90039,10682.61035,10695.69043,10695.69043,183800
5/7/2010,10472.7002,10472.76953,10257.32031,10364.58984,10364.58984,227700
5/10/2010,10399.04981,10540.51953,10362.33984,10530.7002,10530.7002,181000
5/11/2010,10643.24023,10643.28027,10392.46973,10411.09961,10411.09961,196900
5/12/2010,10465.03027,10501.71973,10345.19043,10394.03027,10394.03027,189300
5/13/2010,10542.76953,10638.23047,10535.94043,10620.54981,10620.54981,159600
5/14/2010,10453.40039,10551.69043,10390.76953,10462.50977,10462.50977,189100
5/17/2010,10329.37012,10331.87012,10158.29981,10235.75977,10235.75977,182400
5/18/2010,10313.13965,10336.53027,10197.74023,10242.63965,10242.63965,160800
5/19/2010,10087.33008,10186.83984,10041.92969,10186.83984,10186.83984,175000
5/20/2010,10121.84961,10161.7002,9999.589844,10030.30957,10030.30957,149700
5/21/2010,9823.839844,9829.360352,9696.629883,9784.540039,9784.540039,195000
5/24/2010,9754.990234,9793.459961,9693.070313,9758.400391,9758.400391,164800
5/25/2010,9632.139648,9642.599609,9432.089844,9459.889648,9459.889648,165300
5/26/2010,9567.349609,9622.400391,9477.450195,9522.660156,9522.660156,188100
5/27/2010,9419.299805,9642.160156,9395.290039,9639.719727,9639.719727,175100
5/28/2010,9806.05957,9824.849609,9699.139648,9762.980469,9762.980469,164300
5/31/2010,9735.469727,9831.730469,9728.419922,9768.700195,9768.700195,121400
6/1/2010,9747.259766,9747.259766,9658.44043,9711.830078,9711.830078,110400
6/2/2010,9604.450195,9763.410156,9560.160156,9603.240234,9603.240234,158400
6/3/2010,9758.820313,9920.179688,9758.820313,9914.19043,9914.19043,142600
6/4/2010,9909.240234,9962.419922,9868.089844,9901.19043,9901.19043,120300
6/7/2010,9705.360352,9714.419922,9502.620117,9520.799805,9520.799805,148400
6/8/2010,9448.790039,9587.650391,9434.80957,9537.94043,9537.94043,129600
