Date,Price
11/15/2005,970
11/16/2005,986
11/17/2005,981
11/18/2005,982
11/21/2005,978
11/22/2005,975
11/23/2005,973
11/24/2005,982
11/25/2005,990
11/28/2005,998
11/29/2005,997
11/30/2005,982
12/1/2005,993
12/2/2005,1003
12/5/2005,1001
12/6/2005,990
12/7/2005,1001
12/8/2005,994
12/9/2005,1007
12/12/2005,1015
12/13/2005,998
12/14/2005,971
12/15/2005,957
12/16/2005,962
12/19/2005,978
12/20/2005,966
12/21/2005,955
12/22/2005,961
12/23/2005,965
12/27/2005,968
12/28/2005,971
12/29/2005,967
12/30/2005,967
1/3/2006,985
1/4/2006,994
1/5/2006,990
