Date,DJIA_Movement,NASDAQ,S&P500,Nikkei225,Hangseng,FTSE100,DAX,ASX,USD/EUR,USD/AUD,USD/JPY,SILVER,PLATINUM,OIL,GOLD
6/5/2000,1,0.002197559,-0.006518829,0.023912325,0.037789605,-0.012027603,-0.004157868,0.00251525,-0.004117834,-0.003785272,-0.006564956,0.016326531,0.017793594,-0.036797274,-0.004129861
6/6/2000,0,-0.01710989,-0.006670645,-0.001843354,0.00120983,1.52E-05,-0.006509191,0.000349293,-0.010344828,-0.012739935,-0.016753537,0.006024096,-0.012237762,0.005305978,-0.006335676
6/7/2000,1,0.022066487,0.009274008,-0.00146296,0.001208368,-0.006568095,-0.009079028,-0.011841584,-0.003124999,-0.00220339,-0.001325256,0.003992016,0,-0.003518649,-0.007883144
6/8/2000,0,-0.003568383,-0.006585704,-0.008201891,-0.001454704,-0.001107,-0.006835354,0.004529928,0.005446166,0.00374277,0.003412322,0.001988072,-0.019469027,0.036016949,-0.003038093
6/9/2000,0,0.012881782,-0.003229247,-0.008376078,0.015326016,-0.008127373,0.001573892,0.006332571,0.002309469,0.002387448,0.008690724,-0.001984127,0.005415162,-0.011588275,0.001797156
6/12/2000,0,-0.027596023,-0.007515667,0.007039488,-0.004045218,-0.002001909,-0.002603842,-0.005196242,-0.001886002,-0.00811908,-0.001217456,-0.003976143,-0.007181329,0.037931034,0.001637938
6/13/2000,1,0.022067976,0.016210194,-0.003866773,-0.022554236,0.002519118,0.004598075,-0.005223384,-0.007797068,-0.010212624,0.001312705,0.001996008,0.012658228,0.009966777,0.005061517
6/14/2000,1,-0.013931267,0.000748651,-0.015402311,0.010458835,0.013835632,0.011285018,0.001413033,0.003023984,-0.005660063,0.000936417,-0.007968127,-0.023214286,-0.009210526,0.001239637
6/15/2000,1,0.012727116,0.005569342,-0.018957113,0.014080125,-0.006961125,-0.003036322,0.004778445,0.006295907,-0.001330008,-0.003461502,0.012048193,0,-0.011620186,0.00162501
6/16/2000,0,0.003853633,-0.009650186,-0.001247996,0.022017011,0.005423091,-0.026910962,0.002457614,-0.012230514,-0.011178695,-0.002816373,0,0.001828154,-0.036614041,-0.001274722
6/19/2000,1,0.033484784,0.01470852,0.016732128,-0.010156216,-0.005485719,0.009451146,0.003279435,0.002702141,0.009794156,-0.004518923,-0.001984127,0.02189781,-0.034518828,-0.00293947
6/20/2000,0,0.005897502,-0.006763155,0.019058195,-0.011109872,0.005654634,0.003954856,0.001301086,0.006801297,-0.002153387,-0.003026291,-0.007952286,0.030357143,0.042253521,0.002288685
6/21/2000,1,0.012620324,0.002154581,0.017893148,0.009411442,-0.007522729,-0.017597264,0.007352926,0.010787944,0.001825423,0.000758869,0,-0.012131716,0.064102564,-0.002554377
6/22/2000,0,-0.031291734,-0.018220137,-0.006047056,-0.017599264,-0.009879898,-0.006537934,-0.001510132,0.00606512,0.005506424,-0.01042654,-0.012024048,0.01754386,-0.003256268,-0.001668477
6/23/2000,1,-0.023241991,-0.007368283,-0.008347875,-0.013432512,-0.003476848,-0.01038605,0.001102848,0.004274418,0.004862509,0.001819923,0,-0.022413793,0.013394316,0.004469665
6/26/2000,1,0.017366482,0.009594361,-0.002228974,0.01530238,0.002143502,0.006701581,0.000220311,-0.002558091,-0.000167644,0.010230424,-0.004056795,0.0335097,-0.003868472,-0.00951865
6/27/2000,0,-0.01358858,-0.003270788,0.020895232,0.0110683,-0.004668143,0.003097969,0.003870618,-0.006565014,-0.007817698,-0.001230362,0.00814664,-0.015358362,-0.013915858,0.008242831
6/28/2000,1,0.021088617,0.00294364,0.00527282,0.017495322,-0.009693631,0.0010058,0.00746052,0,-0.001826333,-0.00018952,-0.004040404,0.010398614,0.022317033,-0.005850672
6/29/2000,0,-0.016016411,-0.008543965,0.006086899,-0.009223521,-0.011800111,-0.025723992,0.012632658,-0.007461903,-0.00099519,-0.003980665,0.004056795,-0.008576329,-0.003210273,-0.003039988
6/30/2000,1,0.022923615,0.00846509,-0.003710802,-0.008044523,0.011812822,0.003443128,0.017422016,-0.003143006,0.009713616,0.009991436,0.006060606,-0.027681661,0.017069243,0
7/3/2000,1,0.006510113,0.010270908,0.011694261,-0.001907091,0.02498134,0.008806632,-0.000936172,0.001994541,-0.004169447,-0.004710759,0.002008032,-0.003558719,0.018049398,-0.008600469
7/5/2000,0,-0.032272569,-0.015862146,-0.01014558,0.021662044,-0.013584926,0.000398051,0.003748345,-0.002304148,0.01506687,0.012021961,-0.002004008,-0.035714286,-0.055987558,-0.007768139
7/6/2000,0,0.025231024,0.007218813,-0.008808243,0.000929954,0.005812785,-0.001528375,-0.004095798,0.002204262,-0.000338467,0.004302685,-0.004016064,0.009259259,0.010543657,0
7/7/2000,1,0.015813351,0.01526082,0.006704584,0.020641575,0.012134697,0.014548851,-0.000483792,0.004533952,0.001355702,0.004097979,0,0.012844037,-0.001630258,0
7/10/2000,1,-0.010665618,-0.002217884,0.01002627,0.024284607,-0.004817207,0.002637412,0.005597071,-0.003886147,-0.001860622,-0.00658566,0,0.007246377,-0.001306336,0.001271708
7/11/2000,1,-0.00599708,0.00356461,-0.003887871,0.007018537,0.001484583,-0.009452913,-0.00015043,0.002527114,0.00356476,-0.001587302,0.002016129,0.001798561,-0.024525834,-0.003770589
7/12/2000,1,0.036186736,0.008130327,-0.009267892,0.011094665,0.00659381,0.008850716,-0.001474482,0.01021168,0.000169779,0.013373235,-0.006036217,0.003590664,0.014750251,-0.006932271
